AM,POT,PA,KA
2,20,0.917,11.261
2,60,0.823,11.01
2,100,0.803,10.381
2,300,0.744,10.208
2,700,0.697,10.006
2,1000,0.681,9.916
3,20,0.789,10.271
3,60,0.702,10.076
3,100,0.692,9.99
3,300,0.646,9.779
3,700,0.62,9.749
3,1000,0.608,9.708
4,20,1.052,11.779
4,60,0.941,11.249
4,100,0.881,10.14
4,300,0.824,10.052
4,700,0.79,9.859
4,1000,0.771,9.755
5,20,0.592,10.046
5,60,0.543,9.973
5,100,0.526,9.886
5,300,0.497,9.876
5,700,0.481,9.84
5,1000,0.469,9.697
7,20,0.891,10.701
7,60,0.771,10.586
7,100,0.761,10.204
7,300,0.707,10.175
7,700,0.675,9.893
7,1000,0.658,9.78
9,20,0.536,10.006
9,60,0.494,9.924
9,100,0.487,9.817
9,300,0.458,9.789
9,700,0.438,9.766
9,1000,0.429,9.673
10,20,0.949,11.122
10,60,0.842,10.819
10,100,0.809,10.353
10,300,0.759,10.243
10,700,0.725,10.152
10,1000,0.711,10.01
11,20,0.811,10.672
11,60,0.705,10.48
11,100,0.693,10.181
11,300,0.649,10.122
11,700,0.621,10.088
11,1000,0.607,9.995
12,20,1.028,11.91
12,60,0.901,11.523
12,100,0.857,10.858
12,300,0.797,10.238
12,700,0.768,10.184
12,1000,0.749,10.115
13,20,0.754,10.155
13,60,0.696,10.139
13,100,0.674,10.041
13,300,0.636,10.041
13,700,0.615,9.873
13,1000,0.604,9.824
14,20,0.917,11.054
14,60,0.842,10.701
14,100,0.803,10.304
14,300,0.756,10.054
14,700,0.73,9.915
14,1000,0.713,9.76
15,20,0.771,10.263
15,60,0.709,10.084
15,100,0.684,9.819
15,300,0.646,9.743
15,700,0.624,9.721
15,1000,0.61,9.698
16,20,0.758,11.078
16,60,0.691,10.724
16,100,0.684,10.31
16,300,0.643,9.961
16,700,0.618,9.936
16,1000,0.605,9.887
17,20,0.953,10.458
17,60,0.843,10.296
17,100,0.774,10.238
17,300,0.736,10.074
17,700,0.687,9.69
17,1000,0.665,9.623
20,20,1.22,11.282
20,60,1.07,10.891
20,100,1.013,10.469
20,300,0.935,10.227
20,700,0.877,10.12
20,1000,0.852,10.09
22,20,1.204,11.833
22,60,1.112,11.826
22,100,1.022,11.82
22,300,0.935,11.497
22,700,0.874,10.752
22,1000,0.848,10.44
23,20,0.659,10.324
23,60,0.609,10.22
23,100,0.568,10.173
23,300,0.526,10.149
23,700,0.498,9.982
23,1000,0.488,9.878
25,20,0.638,10.163
25,60,0.609,10.108
25,100,0.553,10.039
25,300,0.51,9.939
25,700,0.483,9.889
25,1000,0.474,9.783
26,20,0.968,10.799
26,60,0.914,10.618
26,100,0.853,10.328
26,300,0.786,10.014
26,700,0.757,9.905
26,1000,0.739,9.851
27,20,0.661,10.09
27,60,0.607,9.952
27,100,0.606,9.845
27,300,0.579,9.703
27,700,0.559,9.674
27,1000,0.548,9.61
28,20,1.112,10.758
28,60,1.024,10.526
28,100,0.948,10.348
